Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,47μF/25V,C76659
"C10, C9",0805,2,22μF/25V,C45783
"C11, C12",1206,2,10μF/25V,C13585
"C14, C16, C19, C41, C43, C45, C46, C6",0805,8,10μF/25V,C15850
"C15, C20, C3, C42",1206,4,2.2μF/50V,C50254
"C17, C22, C44",CP_Radial_D6.3mm_P2.50mm,3,47μF/50V,C45100
"C2, C23, C24, C28, C29, C32, C7, C8",0603,8,100nF/50V,C14663
C30,0603,1,1μF/50V,C15849
"C31, C35",0603,2,10nF/50V,C100042
C34,0603,1,4.7uF/25V,C69335
C4,0805,1,22pF/50V,C105623
"D10, D4, D7",FR107_SOD-123_L2.8-W1.8-LS3.7-RD-3,3,FR107,C3018495
D11,D_SOD-523,1,D_Schottky,C2926449
FB2,0603,1,600Ω@100MHz,C1002
L1,INDUCTOR-SMD_L6.0-W6.0,1,18µH 106mOhm,C467143
L2,INDUCTOR-SMD_L4.0-W4.0,1,15µH,C340394
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,BSC026N08NS5,C5955453
"R10, R11, R20, R27, R28, R37, R39, R40, R9",0603,9,10K,C25804
"R14, R21, R31",0603,3,22K,C31850
"R15, R22, R32",0603,3,2K2,C4190
"R17, R24, R34",0603,3,1K5,C2907083
"R18, R19, R25, R26, R35, R36",0603,6,10,C22859
R2,0603,1,22K1,C137768
R3,0603,1,100K,C25803
R4,0603,1,13.3K,C25952
R42,0603,1,120,C22787
R43,0603,1,169K,C22817
R44,0603,1,18K,C25810
R5,0603,1,200K,C25811
R8,0603,1,220,C22962
"SHUNT1, SHUNT2, SHUNT3",R_Shunt_WSK2512_6332Metric_T1.19mm,3,R003,C5375459
U1,STM32 G431 QFN-48-1EP_7x7mm,1,STM32G431_UFQFPN48,C529356
"U11, U6, U9",EG3112_IRS,3,EG3112,C111908
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,LMR23630,C601653
U4,SOT-23-6,1,TPS54202DDCR,C191884
U5,SOT-23-5,1,AP2112K-3.3,C51118
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD232DR,C30530
Y1,CSTNE8M00GH5C000R0,1,8Mhz,C341525
