Designator,Mid X,Mid Y,Rotation,Layer
C1,184.3,-88.9,0.0,top
C10,184.3,-104.6,0.0,top
C11,179.0,-107.5,180.0,top
C12,176.0,-103.9,270.0,top
C14,151.1,-89.5,0.0,top
C15,140.0,-80.9,270.0,top
C16,185.0,-72.4,180.0,top
C17,152.0,-75.25,270.0,top
C19,168.1,-89.5,0.0,top
C2,181.5,-81.8,180.0,top
C20,157.0,-80.9,270.0,top
C22,169.0,-75.25,270.0,top
C23,137.3,-109.2,45.0,top
C24,163.8,-103.0,90.0,top
C28,173.5,-91.2,0.0,top
C29,156.4,-105.5,180.0,top
C3,185.4,-82.2,0.0,top
C30,143.3,-102.9,315.0,top
C31,144.4,-101.8,315.0,top
C32,141.1,-104.0,225.0,top
C34,147.9,-112.4,90.0,top
C35,149.4,-112.4,90.0,top
C4,182.8,-84.4,0.0,top
C41,134.1,-89.5,0.0,top
C42,123.0,-80.9,270.0,top
C43,133.7,-79.8,0.0,top
C44,135.0,-75.25,270.0,top
C45,150.7,-79.8,0.0,top
C46,167.7,-79.8,0.0,top
C6,184.3,-94.2,0.0,top
C7,184.3,-92.4,0.0,top
C8,186.8,-97.4,270.0,top
C9,184.3,-102.6,0.0,top
D10,171.3,-84.5,90.0,top
D11,173.5,-94.2,0.0,top
D4,137.299873,-84.5,90.0,top
D7,154.3,-84.5,90.0,top
FB2,142.2,-105.1,45.0,top
L1,176.0,-80.0,90.0,top
L2,180.1,-97.0,270.0,top
Q1,127.5,-75.0,0.0,top
Q2,127.5,-86.9,0.0,top
Q3,144.5,-75.0,0.0,top
Q4,144.5,-86.9,0.0,top
Q5,161.5,-74.9,0.0,top
Q6,161.5,-86.9,0.0,top
R10,175.0,-107.1,180.0,top
R11,175.0,-108.7,180.0,top
R14,130.0,-98.5,0.0,top
R15,130.0,-97.0,0.0,top
R17,127.0,-97.0,180.0,top
R18,131.1,-78.8,270.0,top
R19,131.3,-90.0,90.0,top
R2,185.9,-86.2,180.0,top
R20,129.5,-80.3,90.0,top
R21,147.0,-98.5,0.0,top
R22,147.0,-97.0,0.0,top
R24,144.0,-97.0,180.0,top
R25,148.1,-78.8,270.0,top
R26,148.3,-90.0,90.0,top
R27,146.5,-80.3,90.0,top
R28,145.8,-91.5,0.0,top
R3,182.7,-100.7,180.0,top
R31,164.0,-98.5,0.0,top
R32,164.0,-97.000001,0.0,top
R34,161.0,-97.0,180.0,top
R35,165.1,-78.7,270.0,top
R36,165.3,-90.0,90.0,top
R37,128.8,-91.5,0.0,top
R39,163.5,-80.325,90.0,top
R4,185.8,-100.7,180.0,top
R40,162.8,-91.5,0.0,top
R42,130.8,-102.8,225.0,top
R43,173.5,-88.9,90.0,top
R44,173.5,-92.7,0.0,top
R5,182.8,-86.2,180.0,top
R8,157.2,-101.0,0.0,top
R9,163.8,-106.0,270.0,top
SHUNT1,127.5,-94.3,0.0,top
SHUNT2,144.5,-94.3,0.0,top
SHUNT3,161.5,-94.3,0.0,top
U1,149.5,-105.5,135.0,top
U11,167.5,-84.6,180.0,top
U3,183.4,-77.225,0.0,top
U4,184.3,-97.4,180.0,top
U5,179.0,-104.0,0.0,top
U6,133.5,-84.6,180.0,top
U8,134.0,-106.0,45.0,top
U9,150.5,-84.6,180.0,top
Y1,157.2,-102.9,180.0,top
